Date,Campaign,Ad Type,Budget Spent,Impressions,Clicks,CTR,CPC,Enquiries,Bookings,Notes
2025-08-01,Early Bird,Sponsored Content,,,,,,,,"Launch campaign, 10% bar tab offer"
2025-08-15,Early Bird,Message Ads,,,,,,,,"Target HR managers"
2025-09-01,Last Chance Early Bird,Sponsored Content,,,,,,,,"Urgency - offer ends Sept 30"
2025-09-15,Last Chance Early Bird,Message Ads,,,,,,,,"Retarget website visitors"
2025-10-01,Smart Money Savers,Sponsored Content,,,,,,,,"Cost comparison focus"
2025-10-15,Smart Money Savers,Message Ads,,,,,,,,"Target office managers"
2025-11-01,Final Availability,Sponsored Content,,,,,,,,"Last dates available"
2025-11-15,Final Availability,Message Ads,,,,,,,,"Target procrastinators"
,,,,,,,,,,
Monthly Targets:,,£100,10000,50,0.50%,£2.00,4,1,
Campaign Total:,,£400,40000,200,0.50%,£2.00,16,4,Target: £3000-6000 revenue